"Variable name","P value","Intercept"
"rev_Mean","0.207614021035042","22039.1623218442"
"mou_Mean","0.0164923024322816","7555.93216515368"
"totmrc_Mean","1.15350575318672e-11","4804.57190856942"
"da_Mean","0.386969622091424","125.861428148126"
"ovrmou_Mean","0.109691969552996","1963.79662609285"
"ovrrev_Mean","0.424568981289677","6947.74388388166"
"vceovr_Mean","0.142793785835587","4826.87143167133"
"datovr_Mean","0.418949550846463","459.520819047265"
"roam_Mean","0.206816560793618","3251.02982556247"
"change_mou","0.000161310876148474","5836.55938790095"
"change_rev","0.149753524396656","18200.9192916472"
"drop_vce_Mean","0.236415000659582","268.802485874269"
"drop_dat_Mean","0.265994339443476","44.0629010274635"
"blck_vce_Mean","0.577198166041322","313.446182914416"
"blck_dat_Mean","0.422933258636432","35.9691872105859"
"unan_vce_Mean","0.0955390836638141","832.091382820305"
"unan_dat_Mean","0.168418090260018","40.6719987149833"
"plcd_vce_Mean","0.182412657471472","2362.34709110524"
"plcd_dat_Mean","0.658495732470481","246.2183406267"
"recv_vce_Mean","0.0138685804610342","1538.80544822258"
"recv_sms_Mean","0.173397630680654","72.3431410194593"
"comp_vce_Mean","0.00118773026173987","2035.09224870751"
"comp_dat_Mean","0.824769062251056","218.530222859254"
"custcare_Mean","4.02872524946866e-06","244.024917197661"
"ccrndmou_Mean","6.22161517045327e-05","418.277391639704"
"cc_mou_Mean","0.56356716828536","5547.46971930555"
"inonemin_Mean","0.220575006662935","1044.33526442205"
"threeway_Mean","0.0126568490253422","87.1163334884873"
"mou_cvce_Mean","0.481304459779647","33055.3863590534"
"mou_cdat_Mean","0.481079621453474","2349.58485933341"
"mou_rvce_Mean","0.487119791211468","27067.8462633172"
"owylis_vce_Mean","0.0438301840894143","763.068245389955"
"mouowylisv_Mean","0.544095159463998","16390.2764643723"
"iwylis_vce_Mean","0.00054563900230033","506.663452773477"
"mouiwylisv_Mean","0.247488206654366","12851.5837537258"
"peak_vce_Mean","0.062524327626287","1786.22530798454"
"peak_dat_Mean","0.786021637631799","150.383478653627"
"mou_peav_Mean","0.55801800329177","31963.4256565965"
"mou_pead_Mean","0.661514234489841","1694.02739374225"
"opk_vce_Mean","0.169954215723402","1570.51321077788"
"opk_dat_Mean","0.512431143596668","171.756035020725"
"mou_opkv_Mean","0.398639883540726","30022.2543956571"
"mou_opkd_Mean","0.601690263617067","1841.67027972137"
"drop_blk_Mean","0.102054965690115","428.984663713546"
"attempt_Mean","0.307400287104547","2345.71647777672"
"complete_Mean","0.00267820949946711","2052.12970394329"
"callfwdv_Mean","0.451949835213107","23.1515649126173"
"callwait_Mean","0.0536781256043347","229.982918839563"
"churn","0","41157.9917715943"
"months","1.16197838590175e-309","1649.4195626149"
"uniqsubs","1.11738322999563e-09","64.9163402803979"
"actvsubs","0.000200619780213526","31.9812538264237"
"new_cell","0.16796392579247","3.56801210012377"
"crclscod","4.11349514686965e-21","203.896228083421"
"asl_flag","2.7022303120801e-32","139.970236391603"
"totcalls","0.117803782831069","9326.85005025129"
"totmou","0.511344229974704","16750.1277642352"
"totrev","0.304232129586432","36496.6461479825"
"adjrev","0.36434785504315","36079.4683354284"
"adjmou","0.722652523462601","16491.9305158439"
"adjqty","0.0663134730247723","9332.02381448358"
"avgrev","0.121291513405283","11198.7602967463"
"avgmou","0.200905284661067","31163.4059348495"
"avgqty","0.353608520935249","22392.7720263306"
"avg3mou","0.000487026205095781","2763.87149990307"
"avg3qty","0.00982808936661727","1287.89714356602"
"avg3rev","0.0290694051339163","470.219492289818"
"avg6mou","0.101844370536449","2529.19567183087"
"avg6qty","0.51657632748745","1139.34890081234"
"avg6rev","0.00240730777417061","441.391492136098"
"prizm_social_one","6.17536646709994e-06","31.9152295966783"
"area","7.49350536660036e-25","162.72124850198"
"dualband","8.79144637894187e-17","73.9403346690165"
"refurb_new","4.94954446194946e-12","47.7068687745906"
"hnd_price","3.79720705438952e-77","402.485436034865"
"phones","1.1617286173095e-05","56.9535956765512"
"models","6.87093685178458e-10","66.0380050930741"
"hnd_webcap","9.95709992451332e-64","284.026688614237"
"truck","0.69776946628812","0.150802679434672"
"rv","0.129406974720961","2.29960415305786"
"ownrent","0.0503611576265539","5.97707016609137"
"lor","1.77374399909366e-13","93.9935413433931"
"dwlltype","0.000909298405806806","14.0056744768864"
"marital","0.00406494662847195","15.3292009608411"
"adults","0.392967058022976","5.19143387765577"
"0","0","0"
"income","0.062154408569112","14.84873038315"
"numbcars","0.00254565948295026","11.9467310673742"
"HHstatin","0.000756116321448909","23.1236148777742"
"dwllsize","0.0558985049185003","24.5784957088451"
"forgntvl","0.459968396481084","0.545971569495068"
"ethnic","6.4979046217688e-31","185.544075940694"
"kid0_2","0.00241942629023587","9.20054844281764"
"kid3_5","0.0463118269684511","3.97021615911863"
"kid6_10","0.625800315094485","0.237799023164727"
"kid11_15","0.839354008702867","0.0410953368305784"
"kid16_17","0.00344174425427998","8.55711492477831"
"creditcd","0.465383044546702","0.532917054439397"
"eqpdays","4.85033226698702e-98","2554.67755531518"
"Customer_ID","0.497682625851463","41162"
"midwest_y","1.10035168856931e-07","28.1888757765379"
"dualband_y","0.000122240646222162","14.7578022007527"
